"","id","course_name","credits"
"1","ADF-S101","Foundation Drawing I",3
"2","ADF-S102","Foundation Drawing II",3
"3","ADF-110","Discovering Boston's Art and Design",3
"4","ADF-S123","Painting",3
"5","ADF-S152","3-Dimensional Design",3
"6","ADF-S156","Imaging",3
"7","ADF-S166","2D/Color",1
"8","ADF-S171","CI: Integrated Studio I",3
"9","ADF-S172","CI: Integrated Studio II",3
"10","ADFA-S201","Drawing: Language of Light",1
"11","ADFA-S204","Sculptural Thinking",3
"12","ADFA-S220","Drawing: Shifting Scales",4
"13","ADFA-S241","Painting Studio",2
"14","ADFA-S242","Sculpture Studio",3
"15","ADFA-S251","Printmaking Studio",3
"16","ADFA-S271","Fine Arts Seminar I",3
"17","ADFA-S272","Fine Arts Seminar I",3
"18","ADFA-S311","Contemporary Trends & Practices",3
"19","ADFA-S344","Advanced Drawing Issues",1
"20","ADFA-S345","Advanced Printmaking",3
"21","ADFA-S361","Figure Studio: 2D",3
"22","ADFA-S362","Figure Studio: 3D",3
"23","ADFA-S371","Fine Arts Seminar II",1
"24","ADFA-S372","Fine Arts Seminar II",3
"25","ADFA-HS372","Fine Arts Seminar II",3
"26","ADFA-S380","Advanced Seminar Projects",3
"27","ADFA-S381","Advanced Seminar Projects II",3
"28","ADFA-S382","Advanced Seminar Projects III",3
"29","ADFA-400","Fine Arts Internship",3
"30","ADFA-S410","Senior Thesis",3
"31","ADFA-HS510","Fine Arts Honors Independent Study",4
"32","ADFA-S510","Fine Arts Independent Study",3
"33","ADG-S201","Typography I",3
"34","ADG-S202","Typography II",3
"35","ADG-S204","Design Beyond Design",4
"36","ADG-S206","Graphic Design I",3
"37","ADG-S207","Graphic Design II",1
"38","ADG-S213","Design for Digital Communication",1
"39","ADG-S214","Illustration for Designers",3
"40","ADG-S219","Computer Applications in Design",3
"41","ADG-224","History of Graphic Design",3
"42","ADG-S311","Integrated Advertising",3
"43","ADG-S330","Motion Graphics",4
"44","ADG-S334","Publication Design",3
"45","ADG-337","Professional Practice",3
"46","ADG-S340","Online Mobile Design",3
"47","ADG-S344","Graphic Design III",1
"48","ADG-S345","Graphic Design IV",3
"49","ADG-HS345","Graphic Design IV",3
"50","ADG-S354","SL-Advanced Computer Applications",3
"51","ADG-S360","Branding & Identity Design",3
"52","ADG-S373","UX/UI Design",3
"53","ADG-400","Graphic Design Internship",3
"54","ADG-510","Graphic Design Undergraduate Independent Study",3
"55","ADG-HS510","Honors Graphic Design Independent Study",3
"56","ADI-01","Introduction to Interior Design & Decoration",1
"57","ADI-S106","Interior Design Communications",3
"58","ADI-S107","Spatial Graphics",3
"59","ADI-S110","Digital Orthographics",3
"60","ADI-S201","Interior Design Studio I",3
"61","ADI-S202","Residential Design Studio",3
"62","ADI-S215","Human Factors & Universal Design",3
"63","ADI-223","History of Furniture & Architecture",3
"64","ADI-234","History & Theory of Interior Architecture",3
"65","ADI-242","Interior Codes & Construction",3
"66","ADI-244","Interior Materials & Finishes",3
"67","ADI-254","Lighting",2
"68","ADI-S264","Advanced Interior Design Communication",3
"69","ADI-S303","Contract Design Studio I",3
"70","ADI-S304","Furniture and Detailing Studio",3
"71","ADI-S305","Contract Design Studio II",3
"72","ADI-306","Portfolio",3
"73","ADI-352","Environmental Systems",3
"74","ADI-S372","Construction Documents",1
"75","ADI-390","Marketing, Contracts, & Internship",3
"76","ADI-S398","Senior Programming & Pre-Design",3
"77","ADI-S401","Senior Studio",3
"78","ADI-HS401","Senior Studio",3
"79","ADI-510","Undergraduate Independent Study",3
"80","ADI-H510","Honors Undergraduate Independent Study",3
"81","ADPR-101","Introduction to Advertising, Public Relations, and Social Media",3
"82","ADPR-102","Professional Development",3
"83","ADPR-103","Presentations Skills",2
"84","ADPR-110","Introduction to Debate",3
"85","ADPR-177","Professional Communication",3
"86","ADPR-210","Communication Research Statistics",4
"87","ADPR-217","Gay and Lesbian Studies",3
"88","ADPR-219","Rhetoric of Protest and Reform",3
"89","ADPR-229","The Dark Side of Social Media",3
"90","ADPR-230","Hip Hop Culture",3
"91","ADPR-235","Argument and Advocacy",3
"92","ADPR-239","Creativity in Global Branding",3
"93","ADPR-245","Forensics",3
"94","ADPR-247","Design Lab",3
"95","ADPR-257","Advertising",4
"96","ADPR-258","Sports Public Relations",3
"97","ADPR-260","Brands & Social Responsibility",3
"98","ADPR-285","Media and Pop Culture I",3
"99","ADPR-289","Social Media",3
"100","ADPR-297","Web Design",2
"101","ADPR-299","Blogs and Blogging",3
"102","ADPR-2277","Public Relations I: Principles",3
"103","ADPR-309","Grassroots Digital Advocacy",4
"104","ADPR-317","Principles of Branding and Visual Identity",2
"105","ADPR-335","Negotiation",3
"106","ADPR-339","Social Media and Social Movements",1
"107","ADPR-340","Health Communication",3
"108","ADPR-347","Media Planning",3
"109","ADPR-351","Native Advertising",1
"110","ADPR-355","Advertising and PR Agency Management",3
"111","ADPR-359","Advertising Copy",3
"112","ADPR-360","Lifestyles PR: Entertainment",3
"113","ADPR-361","Lifestyle Public Relations: Fashion",3
"114","ADPR-363","Lifestyle Public Relations: Travel and Tourism",3
"115","ADPR-364","Lifestyle Public Relations: Food and Beverages",3
"116","ADPR-365","Nonprofit Promotion",3
"117","ADPR-370","Usability and Information Architecture",1
"118","ADPR-371","Social Media Analytics",3
"119","ADPR-378","Event Planning and Promotion",1
"120","ADPR-383","Online Advertising",3
"121","ADPR-389","Social Media Marketing Communication",3
"122","ADPR-3376","Public Relations II: Research",3
"123","ADPR-3377","Public Relations III: Strategic Writing",1
"124","ADPR-409","Content Management",3
"125","ADPR-422","Technology Trends in Advertising and Public Relations",3
"126","ADPR-430","Social Media Campaigns",3
"127","ADPR-435","Advocacy and Public Policy",2
"128","ADPR-437","Ad Campaigns",3
"129","ADPR-441","Risk and Crisis Communication",3
"130","ADPR-445","The Election in Real Time",3
"131","ADPR-457","Integrated Marketing Communication",3
"132","ADPR-H457","Honors Integrated Marketing Communication",3
"133","ADPR-479","Environmental Public Relations",3
"134","ADPR-489","Political Communication",3
"135","ADPR-4477","Public Relations IV: Campaigns",3
"136","ADPR-4478","SL-Public Relations IV: Campaigns",1
"137","ADPR-503","Experiential Learning in Communication",3
"138","ADPR-506","Honors Seminar",3
"139","ADPR-H506","Honors Seminar",4
"140","ADPR-510","Independent Study",3
"141","ADPR-H510","Honors Independent Study",2
"142","ALS-265","Law and Ethics",3
"143","ALS-266","Criminal Law",1
"144","ALS-362","Litigation",1
"145","ALS-363","Law of Contracts",3
"146","ALS-366","Corporate Law",3
"147","ALS-368","Real Estate Law",3
"148","ALS-369","Family Law",3
"149","ALS-360","Fundamentals of Paralegal Practice",3
"150","ALS-361","Legal Research & Writing I",3
"151","ALS-370","Administrative Law and Worker's Compensation",3
"152","ALS-373","Education Law",1
"153","ALS-374","Torts: Personal Injury Law",1
"154","ALS-378","Advanced Litigation & Trial Practice",3
"155","ALS-381","Paralegal Internship",3
"156","ALS-383","Immigration Law",3
"157","ALS-384","Intellectual Property",3
"158","ALS-385","Legal Research & Writing II",3
"159","ALS-390","Employment & Labor Law",3
"160","ALS-391","Domestic Violence, Abuse & Neglect",3
"161","ALS-510","Independent Study",2
"162","AMST-101","American History and Culture",3
"163","ARAB-101","Elementary Modern Standard Arabic",3
"164","ARAB-102","Elementary Modern Arabic II",1
"165","ARH-101","Art History I",1
"166","ARH-102","Art History II",3
"167","ARH-203","Arts of Asia",3
"168","ARH-205","Gender, Class and Alterity in Ancient and Medieval Art",3
"169","ARH-206","Global Cross-Cultural Perspectives in Art",3
"170","ARH-290","Internship in Art History",3
"171","ARH-303","Art of the Early Renaissance in Italy",3
"172","ARH-304","Art in the Age of Michelangelo: The High and Late Renaissance in Italy",3
"173","ARH-308","Art of the Baroque & Rococo",3
"174","ARH-309","Art of the 19th Century",3
"175","ARH-310","Modernism in Art",3
"176","ARH-311","American Art",3
"177","ARH-312","Art of the Northern Renaissance",3
"178","ARH-316","Contemporary Art",3
"179","ARH-318","Art and Museums Today",3
"180","ARH-321","Women, Art and Society",3
"181","ARH-404","Seminar in Art History: Caravaggio",3
"182","ARH-406","Seminar in Art History: Bernini",3
"183","ARH-411","Seminar in Art History: Impressionism",3
"184","ARH-510","Independent Study",3
"185","ARH-H510","Honors Independent Study",3
"186","ARH-H555","Art History Honors Thesis",3
"187","ART-02","Pre-College",3
"188","ART-10","Portfolio Development Workshop",3
"189","ART-S209","Introduction to Drawing and Mixed Media",3
"190","ART-S211","Introduction to Painting",2
"191","AS-100","Introduction to Asian Studies: Culture, People, Ideas",1
"192","AS-220","Chinese Food in America",3
"193","AS-500","Asian Studies Internship",2
"194","AS-510","Independent Study",1
"195","AS-511","Professional Development for Asian Studies",1
"196","AS-H555","Senior Honors Thesis",2
"197","ASL-101","Elementary American Sign Language I",3
"198","ASL-102","Elementary American Sign Language II",3
"199","BIO-104","Environmental Biology",3
"200","BIO-L104","Environmental Bio Lab",3
"201","BIO-105","Humans and the Evolutionary Perspective",3
"202","BIO-H105","Honors Humans and the Evolutionary Perspective",3
"203","BIO-107","The Curiosity of Cats, the Devotion of Dogs",3
"204","BIO-H107","The Curiosity of Cats, the Devotion of Dogs",3
"205","BIO-111","Introduction to the Cell",3
"206","BIO-H111","Honors Introduction to the Cell",3
"207","BIO-L111","Introduction to the Cell Laboratory",3
"208","BIO-LH111","Honors Introduction to the Cell Laboratory",3
"209","BIO-LV111","Introduction to the Cell Laboratory Online",4
"210","BIO-114","Organismal Biology",3
"211","BIO-L114","Organismal Biology Laboratory",3
"212","BIO-LH114","Honors Organismal Biology Laboratory",3
"213","BIO-201","Biology's Big Questions",3
"214","BIO-203","Anatomy and Physiology I",3
"215","BIO-L203","Anatomy & Physiology Lab I",3
"216","BIO-204","Anatomy and Physiology II",4
"217","BIO-H204","Honors Anatomy and Physiology II",3
"218","BIO-L204","Anatomy & Physiology Lab II",4
"219","BIO-216","Coastal & Ocean Policy and Management",1
"220","BIO-218","Water Resources Planning & Management",4
"221","BIO-225","Plant Biology",3
"222","BIO-L225","Plant Biology Laboratory",3
"223","BIO-233","Human Nutrition",3
"224","BIO-240","Introduction to Marine Mammals",3
"225","BIO-254","Marine Biology",3
"226","BIO-L254","Marine Biology Lab",3
"227","BIO-262","Principles of Cell Culture",3
"228","BIO-273","Biostatistics",3
"229","BIO-H273","Biostatistics",3
"230","BIO-274","Genetics",4
"231","BIO-H274","Honors Genetics",3
"232","BIO-L274","Genetics Lab",3
"233","BIO-LV274","Genetics Lab Online",3
"234","BIO-285","Microbiology",3
"235","BIO-L285","Microbiology Laboratory",3
"236","BIO-302","Writing for Research",3
"237","BIO-304","Comparative Animal Physiology",3
"238","BIO-L304","Comp Animal Physiology Lab",3
"239","BIO-321","Earth and Life Through Time",3
"240","BIO-333","Ecology",3
"241","BIO-H333","Honors Ecology",3
"242","BIO-L333","Ecology Lab",3
"243","BIO-337","Evolution",3
"244","BIO-343","Biodiversity & Conservation Biology",3
"245","BIO-345","The Biology of Vector Borne Diseases",3
"246","BIO-357","Biology of Fishes",1
"247","BIO-359","Biology of Whales",3
"248","BIO-360","Cancer Biology",3
"249","BIO-377","Immunology",1
"250","BIO-385","Advanced Microbiology",3
"251","BIO-403","Cell Biology",3
"252","BIO-L403","Cell Biology Lab",3
"253","BIO-409","Biology Senior Seminar",3
"254","BIO-H409","Honors Biology Senior Seminar",3
"255","BIO-474","Molecular Genetics",3
"256","BIO-L474","Molecular Genetics Lab",3
"257","BIO-475","Developmental Biology",3
"258","BIO-500","Experiential Learning in Biology",3
"259","BIO-501","Biology Non-Credit Internship",3
"260","BIO-503","Biology Internship",3
"261","BIO-H503","Biology Internship",3
"262","BIO-510","Independent Study",3
"263","BIO-H510","Honors Biology Independent Study",3
"264","BIO-H511","Biology Honors Independent Study",3
"265","BIO-H512","Honors in Biology Thesis",3
"266","BIO-H555","Honors in Biology Capstone",3
"267","BLC-AIM","Academic Improvement",4
"268","BLKST-100","Introduction to Black Studies I: Survey of the Discipline",3
"269","BLKST-101","Introduction to Black Studies II Research and Writing",2
"270","BLKST-225","West African History Through Film and Literature",4
"271","BLKST-226","The African American Experience in Literature and Film",3
"272","BLKST-250","Haiti, Guadeloupe and Martinique",3
"273","BLKST-469","Research Seminar: African American Life in Slavery and Freedom- Reconstruction and the Freedman's Bureau Papers",3
"274","CAS-ETHIC","Used to Fulfill Ethics",2
"275","CAS-HBS","Used to Fulfill HBS",4
"276","CAS-PERSP","Used to Fulfill Persp",2
"277","CAS-STLIT","Used to Fulfill St-Lit",1
"278","CAS-VPATH","Used to Fulfill Vpath",3
"279","CAS-101","Strategies of Success",3
"280","CAS-H101","Honors Strategies of Success",3
"281","CAS-102","Stand Out! Strategies for Success 11",3
"282","CAS-201","College to Career: Explore Your Options And Find Your Path",3
"283","CAS-202","Professional Development on Social Media",1
"284","CAS-H211","Honors Experiential Engagement I",3
"285","CAS-H212","Honors Experiential Engagement II",3
"286","CAS-H221","Honors Research / Creativity I",2
"287","CAS-H222","Honors Research / Creativity II",3
"288","CAS-H231","Honors Community Contribution I",1
"289","CAS-H232","Honors Community Contribution II",3
"290","CAS-251","What Makes Us Human?",3
"291","CAS-261","Watercolour",3
"292","CAS-L262","Introduction to Woodcraft",3
"293","CAS-263","Cell Phone Art",3
"294","CAS-L281","The World of Wine",3
"295","CAS-282","Politics Is Not a Dirty Word: Rules of Engagement 101",3
"296","CAS-291","Symmetry Group Strategies for Solving Rubik's Cube",3
"297","CAS-292","Craft Beer Concepts",4
"298","CAS-H292","Honors Contract",3
"299","CAS-301","Peer Mentoring 101",3
"300","CAS-302","Socially Responsible Leadership",3
"301","CAS-401","Resume & Cover Letter Writing",3
"302","CAS-403","Designing Your Portfolio",3
"303","CAS-510","CSDM Independent Study",1
"304","CAS-H510","Honors CSDM Independent Study",1
"305","CAS-513","CSDM Internship",3
"306","CAS-H520","Honors Senior Portfolio",3
"307","CAS-H525","Honors Start Up Institute",3
"308","CAS-555","CSDM Interdisciplinary Capstone",3
"309","CAS-H555","Honors CSDM Interdisciplinary Capstone",3
"310","CHEM-111","General Chemistry I",2
"311","CHEM-L111","General Chemistry Laboratory I",3
"312","CHEM-LV111","General Chemistry Laboratory I Online",1
"313","CHEM-112","General Chemistry II",3
"314","CHEM-H112","Honors General Chemistry II",3
"315","CHEM-L112","General Chemistry Laboratory II",3
"316","CHEM-LV112","General Chemistry Laboratory II Online",3
"317","CHEM-211","Organic Chemistry I",3
"318","CHEM-L211","Organic Chemistry Laboratory I",3
"319","CHEM-LV211","Organic Chemistry Laboratory I Online",3
"320","CHEM-212","Organic Chemistry II",3
"321","CHEM-L212","Organic Chemistry Laboratory II",3
"322","CHEM-LV212","Organic Chemistry Laboratory II Online",3
"323","CHEM-314","Instrumental Analysis",1
"324","CHEM-L314","Instrumental Analysis Laboratory",3
"325","CHEM-331","Biochemistry I",3
"326","CHEM-L331","Biochemical Techniques Lab",1
"327","CHEM-332","Biochemistry II",3
"328","CHEM-L332","Advanced Biochemical Techniques and Research Lab",3
"329","CHEM-355","Environmental Chemistry",3
"330","CHEM-L355","Environmental Chemistry Lab",3
"331","CHEM-375","Advanced Inorganic Chemistry",3
"332","CHEM-L375","Advanced Inorganic Laboratory",3
"333","CHEM-411","Physical Chemistry I",4
"334","CHEM-L411","Physical Chemistry Laboratory I",3
"335","CHEM-412","Physical Chemistry II",1
"336","CHEM-L412","Physical Chemistry Laboratory II",3
"337","CHEM-428","Research & Seminar I",3
"338","CHEM-H428","Honors Research & Seminar I",3
"339","CHEM-429","Research & Seminar II",3
"340","CHEM-H429","Honors Research & Seminar II",4
"341","CHEM-453","Introduction to Pharmacology & Toxicology",3
"342","CHEM-L453","Introduction to Pharmacology and Toxicology Lab",3
"343","CHEM-500","Experiential Learning in Chemistry",3
"344","CHEM-503","Chemistry Or Biochemistry Internship",3
"345","CHEM-H503","Honors Chemistry or Biochemistry Internship",3
"346","CHEM-510","Independent Study",3
"347","CHEM-H510","Honors Independent Study",3
"348","CHIN-101","Elementary Chinese I",1
"349","CHIN-102","Elementary Chinese II",4
"350","Choose","one Creativity & Innovation course from those listed below:",3
"351","CI-102","The End of Global Poverty",1
"352","CI-H102","The End of Global Poverty",3
"353","CI-103","Sticking Your Neck Out- Inventing for Non-Engineers",3
"354","CI-106","Failing Successfully",3
"355","CI-H106","Failing Successfully",2
"356","CI-108","Designing the Next Best Thing",3
"357","CI-110","The Entrepreneur's Cocktail",1
"358","CI-112","Creating Problems: a New Solution for Sustainability",3
"359","CI-H112","Honors Creating Problems: a New Solution For Sustainability",2
"360","CI-114","Creating the Dream Team",1
"361","CI-115","Poetry Out Loud",3
"362","CI-116","Good to Great: Design YOUR Portal to the World",3
"363","CI-H119","SL-Honors Theatre at Work",3
"364","CI-120","Process to Value: The Power of Relationships",2
"365","CI-121","Catastrophe Management: From 9/11 to the Boston Marathon Bombings",3
"366","CI-122","Financial Creativity: You Are the Universe",3
"367","CI-129","Art & Innovation Practices",3
"368","CI-131","Off to the Future: Leadership Through Compromise",3
"369","CI-133","Franklin and the American Experiment",3
"370","CI-H133","Honors Franklin and the American Experiment",3
"371","CI-135","The Design of Everything",2
"372","CI-H139","Creating, Promoting, and Participating in the Literary Arts",3
"373","CI-141","The Creative Approach to Learning",3
"374","CI-143","Dreams, Demons, and Dynamic Artists Creative Nature",3
"375","CI-147","Seeing Double, Printmaking, the Art of Discovery, Experimentation and Process",3
"376","CI-149","SL-Creative Writing and Literacy",3
"377","CI-H149","SL-Creative Writing and Literacy",3
"378","CI-153","Branding and Visual Identity",3
"379","CI-157","Mindful Journal",3
"380","CI-159","Building a Better T",3
"381","CI-161","Making History: Public Memory in the Digital Age",3
"382","CI-H161","Making History: Public Memory in the Digital Age",3
"383","CI-163","A Course on Skepticism and Rationality",3
"384","CI-165","Chemistry Is Everywhere: Zig-Zagging to Success",3
"385","CI-H165","Honors Chemistry Is Everywhere: Zig- Zag",3
"386","CI-167","Public Health: A Need to Think Outside The Box",3
"387","CI-169","Riddles of Identity",1
"388","CI-171","What Is the Moral of This Story?",3
"389","CI-173","Imagining the Other",1
"390","CI-175","Creating Social Change: From Theory to Activism",3
"391","CI-H175","Honors Creating Social Change: From Theory to Activism",3
"392","CI-177","The Curious & Open-Hearted Historian",3
"393","CI-H177","Honors- the Curious & Open-Hearted Historian",3
"394","CI-179","Myths of Self-Making",3
"395","CI-181","Creating Change: Perspective Matters",3
"396","CI-H185","Honors City of Stories: Walking Tours of Boston's Past",3
"397","CI-187","Think Small: Change the World",1
"398","CI-189","The Extended Photo Essay",3
"399","CI-191","The Self in Society",3
"400","CI-193","Tackling Global Issues Creatively: Sustainable Development",3
"401","CI-195","Bilingualism at Play",3
"402","CJN-101","Introduction to Communication",3
"403","CJN-105","Principles of Oral Communication",3
"404","CJN-112","Journalism I",3
"405","CJN-114","Great Works of Journalism",3
"406","CJN-152","Visual Aesthetics",3
"407","CJN-212","Journalism II",3
"408","CJN-216","Intercultural Communication",3
"409","CJN-L218","Photojournalism",1
"410","CJN-220","Review Opinion and Writing",3
"411","CJN-222","Leadership and Communication",3
"412","CJN-225","World Cinema",3
"413","CJN-239","Media Law",3
"414","CJN-253","Broadcast Journalism",3
"415","CJN-255","Introduction to Media",3
"416","CJN-270","Speaking Across Cultures",1
"417","CJN-280","Business of Documentary",3
"418","CJN-281","Asian Popular Culture",3
"419","CJN-292","Film History: From Silent Cinema to the Modern Era",3
"420","CJN-293","Hong Kong Cinema",3
"421","CJN-2080","Drones for Filmmakers",3
"422","CJN-L2080","Drones for Filmmakers Lab",3
"423","CJN-2355","Production I",4
"424","CJN-301","Documentary Film and the Image of Conflict in the Middle East",3
"425","CJN-H301","Honors Documentary Film and the Image of Conflict in the Middle East",2
"426","CJN-303","Current Issues in Documentary",3
"427","CJN-315","Leadership, Communication and Mediation",3
"428","CJN-317","Copy Editing",3
"429","CJN-321","Research Methods in Communication",3
"430","CJN-335","Persuasion",4
"431","CJN-352","Visual and Global Contexts",3
"432","CJN-353","Broadcast Journalism II",3
"433","CJN-356","TV Studio Production",3
"434","CJN-357","Advanced Editing Skills",2
"435","CJN-358","Family Communication",1
"436","CJN-361","Television News Producing",3
"437","CJN-363","Online Journalism",3
"438","CJN-375","Organizational Communication",3
"439","CJN-381","Business of Media",3
"440","CJN-387","Media and Film Criticism",3
"441","CJN-3455","Production II",3
"442","CJN-400","Media Effects and Audiences",3
"443","CJN-401","Networked Culture",3
"444","CJN-403","Issues in Journalism",3
"445","CJN-415","Review Writing",3
"446","CJN-443","Advanced Reporting and Feature Writing",3
"447","CJN-466","Seminar in Media/Film",3
"448","CJN-470","Rhetoric and Global Context",3
